Index,Label,X,Y,Feret,FeretAngle
367,mela_083_fov-01.tiff:0367-0219,862.6,435.467,11.314,45
380,mela_083_fov-01.tiff:0380-0230,817.048,424.024,16.971,45
394,mela_083_fov-01.tiff:0394-0237,639.5,416.5,12.728,45
401,mela_083_fov-01.tiff:0401-0244,646.769,410.308,11.314,45
416,mela_083_fov-01.tiff:0416-0256,287.136,397.894,12.728,45
417,mela_083_fov-01.tiff:0417-0256,693.409,397.636,9.899,45
442,mela_083_fov-01.tiff:0442-0273,336.605,381.5,8.485,45
445,mela_083_fov-01.tiff:0445-0278,267.093,376.019,11.314,45
450,mela_083_fov-01.tiff:0450-0283,304.281,370.719,12.728,45
460,mela_083_fov-01.tiff:0460-0296,315.259,357.741,11.314,45
496,mela_083_fov-01.tiff:0496-0341,401.567,312.733,12.728,45
535,mela_083_fov-01.tiff:0535-0387,233.621,266.864,12.728,45
575,mela_083_fov-01.tiff:0575-0423,283.278,230.796,11.314,45
606,mela_083_fov-01.tiff:0606-0457,266.134,196.939,16.971,45
607,mela_083_fov-01.tiff:0607-0453,313.312,200.688,7.071,45
610,mela_083_fov-01.tiff:0610-0460,328.182,193.818,16.971,45
661,mela_083_fov-01.tiff:0661-0516,27.076,138.258,14.142,45
663,mela_083_fov-01.tiff:0663-0515,413.18,138.58,11.314,45
670,mela_083_fov-01.tiff:0670-0519,417.921,135.184,8.485,45
692,mela_083_fov-01.tiff:0692-0545,27.469,108.75,12.728,45
759,mela_083_fov-01.tiff:0759-0641,119.056,13.056,8.485,45
78,mela_083_fov-01.tiff:0078-0055,927.461,598.566,24.759,46.637
49,mela_083_fov-01.tiff:0049-0037,722.703,616.093,20.518,46.975
486,mela_083_fov-01.tiff:0486-0332,219.783,322.065,19.105,47.121
592,mela_083_fov-01.tiff:0592-0443,78.7,210.967,16.279,47.49
13,mela_083_fov-01.tiff:0013-0015,616.129,638.671,14.866,47.726
153,mela_083_fov-01.tiff:0153-0094,535.878,559.5,14.866,47.726
305,mela_083_fov-01.tiff:0305-0181,769.118,472.441,14.866,47.726
329,mela_083_fov-01.tiff:0329-0197,251.053,456.447,14.866,47.726
488,mela_083_fov-01.tiff:0488-0333,164.554,321.041,14.866,47.726
748,mela_083_fov-01.tiff:0748-0620,13.014,33.581,14.866,47.726
758,mela_083_fov-01.tiff:0758-0637,155.5,16.763,14.866,47.726
195,mela_083_fov-01.tiff:0195-0115,1000.667,539.056,13.454,48.013
221,mela_083_fov-01.tiff:0221-0129,946.803,524.53,13.454,48.013
273,mela_083_fov-01.tiff:0273-0161,872.972,493.75,13.454,48.013
328,mela_083_fov-01.tiff:0328-0196,940.278,458.333,13.454,48.013
360,mela_083_fov-01.tiff:0360-0215,834.529,439.071,13.454,48.013
382,mela_083_fov-01.tiff:0382-0231,226.985,423.591,13.454,48.013
487,mela_083_fov-01.tiff:0487-0333,133.652,321.015,13.454,48.013
513,mela_083_fov-01.tiff:0513-0360,313.53,294.076,13.454,48.013
534,mela_083_fov-01.tiff:0534-0385,218.389,269.25,13.454,48.013
714,mela_083_fov-01.tiff:0714-0572,360.797,82.041,13.454,48.013
40,mela_083_fov-01.tiff:0040-0028,1221.964,625.607,12.042,48.366
73,mela_083_fov-01.tiff:0073-0047,626.714,606.893,12.042,48.366
400,mela_083_fov-01.tiff:0400-0243,952.537,410.241,12.042,48.366
502,mela_083_fov-01.tiff:0502-0348,231.857,305.893,12.042,48.366
506,mela_083_fov-01.tiff:0506-0351,265.19,302.5,12.042,48.366
588,mela_083_fov-01.tiff:0588-0437,287.733,216.767,12.042,48.366
642,mela_083_fov-01.tiff:0642-0494,53.125,159.344,12.042,48.366
671,mela_083_fov-01.tiff:0671-0522,30.357,131.179,12.042,48.366
761,mela_083_fov-01.tiff:0761-0647,102.917,6.694,12.042,48.366
75,mela_083_fov-01.tiff:0075-0049,1232.62,605.06,10.63,48.814
353,mela_083_fov-01.tiff:0353-0210,927.093,444.463,10.63,48.814
359,mela_083_fov-01.tiff:0359-0214,382.467,440.133,10.63,48.814
435,mela_083_fov-01.tiff:0435-0269,698.5,385,10.63,48.814
531,mela_083_fov-01.tiff:0531-0380,423.611,273.87,10.63,48.814
629,mela_083_fov-01.tiff:0629-0481,338.9,173.66,10.63,48.814
667,mela_083_fov-01.tiff:0667-0517,387.607,136.964,10.63,48.814
750,mela_083_fov-01.tiff:0750-0622,132.792,31.542,10.63,48.814
461,mela_083_fov-01.tiff:0461-0299,427.5,354.5,19.849,49.086
155,mela_083_fov-01.tiff:0155-0092,698.875,561.75,9.22,49.399
172,mela_083_fov-01.tiff:0172-0101,616.727,552.773,9.22,49.399
545,mela_083_fov-01.tiff:0545-0399,420.033,254.9,18.439,49.399
553,mela_083_fov-01.tiff:0553-0404,333.95,249.65,9.22,49.399
122,mela_083_fov-01.tiff:0122-0080,787.222,574.375,24.839,49.899
219,mela_083_fov-01.tiff:0219-0127,754.324,527.147,7.81,50.194
336,mela_083_fov-01.tiff:0336-0197,955.5,457,7.81,50.194
455,mela_083_fov-01.tiff:0455-0289,154.071,365.243,15.62,50.194
466,mela_083_fov-01.tiff:0466-0297,252.676,356.853,7.81,50.194
570,mela_083_fov-01.tiff:0570-0420,339.656,234.344,15.62,50.194
634,mela_083_fov-01.tiff:0634-0485,342.5,169,7.81,50.194
310,mela_083_fov-01.tiff:0310-0183,343.528,470.472,14.213,50.711
546,mela_083_fov-01.tiff:0546-0399,219.395,254.184,14.213,50.711
7,mela_083_fov-01.tiff:0007-0010,688.197,644.076,12.806,51.34
31,mela_083_fov-01.tiff:0031-0025,526.25,628.75,12.806,51.34
97,mela_083_fov-01.tiff:0097-0063,365.862,590.138,19.209,51.34
123,mela_083_fov-01.tiff:0123-0076,942.129,578.529,12.806,51.34
307,mela_083_fov-01.tiff:0307-0182,903.414,471.871,12.806,51.34
423,mela_083_fov-01.tiff:0423-0260,943.5,393.569,12.806,51.34
542,mela_083_fov-01.tiff:0542-0391,126.143,262.357,6.403,51.34
584,mela_083_fov-01.tiff:0584-0436,370.344,217.75,12.806,51.34
616,mela_083_fov-01.tiff:0616-0472,46.324,181.422,19.209,51.34
578,mela_083_fov-01.tiff:0578-0431,463.435,223.13,17.804,51.843
261,mela_083_fov-01.tiff:0261-0150,683.036,502.964,11.402,52.125
324,mela_083_fov-01.tiff:0324-0194,620.179,459.821,11.402,52.125
408,mela_083_fov-01.tiff:0408-0248,257.569,405.259,11.402,52.125
499,mela_083_fov-01.tiff:0499-0344,187.115,309.115,11.402,52.125
504,mela_083_fov-01.tiff:0504-0350,424.7,304.233,11.402,52.125
585,mela_083_fov-01.tiff:0585-0435,430.833,218.033,11.402,52.125
80,mela_083_fov-01.tiff:0080-0052,1080.011,601.456,16.401,52.431
66,mela_083_fov-01.tiff:0066-0043,762.833,611.278,10,53.13
226,mela_083_fov-01.tiff:0226-0131,859.34,522.58,10,53.13
251,mela_083_fov-01.tiff:0251-0145,663.152,508.935,10,53.13
271,mela_083_fov-01.tiff:0271-0160,577.978,494.283,10,53.13
304,mela_083_fov-01.tiff:0304-0180,570.917,474.083,10,53.13
378,mela_083_fov-01.tiff:0378-0228,951.895,426.158,15,53.13
594,mela_083_fov-01.tiff:0594-0444,264.891,210.152,10,53.13
6,mela_083_fov-01.tiff:0006-0009,1219.527,644.095,13.601,53.973
354,mela_083_fov-01.tiff:0354-0212,238.071,441.243,13.601,53.973
373,mela_083_fov-01.tiff:0373-0223,965.867,430.433,13.601,53.973
426,mela_083_fov-01.tiff:0426-0262,208.062,391.594,13.601,53.973
443,mela_083_fov-01.tiff:0443-0276,181.591,377.985,13.601,53.973
517,mela_083_fov-01.tiff:0517-0366,251.924,287.591,13.601,53.973
729,mela_083_fov-01.tiff:0729-0589,103.95,64.825,13.601,53.973
