Index,Label,X,Y,Feret,FeretAngle
448,mela_083_fov-01.tiff:0448-0281,315.938,373.375,7.81,129.806
551,mela_083_fov-01.tiff:0551-0401,285.259,252.879,7.81,129.806
563,mela_083_fov-01.tiff:0563-0414,238.735,240.324,7.81,129.806
384,mela_083_fov-01.tiff:0384-0230,625.214,423.738,9.22,130.601
647,mela_083_fov-01.tiff:0647-0497,372.182,156.682,9.22,130.601
655,mela_083_fov-01.tiff:0655-0507,205.595,146.119,9.22,130.601
591,mela_083_fov-01.tiff:0591-0441,395.288,212.288,19.849,130.914
357,mela_083_fov-01.tiff:0357-0212,796.7,442.38,10.63,131.186
402,mela_083_fov-01.tiff:0402-0244,935.75,410.042,10.63,131.186
238,mela_083_fov-01.tiff:0238-0137,886.397,516.81,12.042,131.634
134,mela_083_fov-01.tiff:0134-0079,1152.531,575.094,13.454,131.987
334,mela_083_fov-01.tiff:0334-0198,584.088,455.971,13.454,131.987
411,mela_083_fov-01.tiff:0411-0251,677.088,402.588,13.454,131.987
716,mela_083_fov-01.tiff:0716-0574,450.129,80.071,13.454,131.987
612,mela_083_fov-01.tiff:0612-0469,195.878,184.527,28.32,132.138
191,mela_083_fov-01.tiff:0191-0112,569.041,541.743,14.866,132.274
529,mela_083_fov-01.tiff:0529-0379,375.028,274.389,14.866,132.274
605,mela_083_fov-01.tiff:0605-0457,149.625,196.975,16.279,132.51
88,mela_083_fov-01.tiff:0088-0055,1127,598.795,17.692,132.709
193,mela_083_fov-01.tiff:0193-0114,742.1,539.211,17.692,132.709
530,mela_083_fov-01.tiff:0530-0383,150.143,270.696,20.518,133.025
593,mela_083_fov-01.tiff:0593-0444,151.923,209.635,20.518,133.025
111,mela_083_fov-01.tiff:0111-0069,863.529,584.882,11.314,135
356,mela_083_fov-01.tiff:0356-0213,605.441,441.412,14.142,135
365,mela_083_fov-01.tiff:0365-0219,647.714,434.821,12.728,135
556,mela_083_fov-01.tiff:0556-0406,207.8,247.8,8.485,135
600,mela_083_fov-01.tiff:0600-0451,135.8,202.55,14.142,135
617,mela_083_fov-01.tiff:0617-0473,167.879,180.5,21.213,135
646,mela_083_fov-01.tiff:0646-0497,199.707,156.431,12.728,135
668,mela_083_fov-01.tiff:0668-0521,327.912,132.833,19.799,135
693,mela_083_fov-01.tiff:0693-0546,401,108.333,11.314,135
697,mela_083_fov-01.tiff:0697-0551,48.654,102.859,15.556,135
702,mela_083_fov-01.tiff:0702-0554,352.775,99.975,15.556,135
718,mela_083_fov-01.tiff:0718-0576,424.894,78.045,14.142,135
737,mela_083_fov-01.tiff:0737-0601,7.676,51.765,12.728,135
738,mela_083_fov-01.tiff:0738-0604,164.056,49.944,14.142,135
760,mela_083_fov-01.tiff:0760-0643,36.8,10.8,8.485,135
751,mela_083_fov-01.tiff:0751-0627,60.244,27.598,23.345,136.736
625,mela_083_fov-01.tiff:0625-0482,156.858,171.575,21.932,136.848
434,mela_083_fov-01.tiff:0434-0272,438.742,381.968,20.518,136.975
725,mela_083_fov-01.tiff:0725-0582,444.9,71.275,16.279,137.49
747,mela_083_fov-01.tiff:0747-0618,167.25,35.875,16.279,137.49
148,mela_083_fov-01.tiff:0148-0092,386.712,562.47,14.866,137.726
177,mela_083_fov-01.tiff:0177-0106,574.257,547.932,14.866,137.726
608,mela_083_fov-01.tiff:0608-0457,285.284,196.743,14.866,137.726
138,mela_083_fov-01.tiff:0138-0081,645.556,572.917,13.454,138.013
297,mela_083_fov-01.tiff:0297-0173,744.156,480.594,13.454,138.013
520,mela_083_fov-01.tiff:0520-0368,202.048,285.597,13.454,138.013
635,mela_083_fov-01.tiff:0635-0487,87.794,166.529,13.454,138.013
644,mela_083_fov-01.tiff:0644-0495,274,158.694,13.454,138.013
192,mela_083_fov-01.tiff:0192-0112,549.607,542.286,12.042,138.366
347,mela_083_fov-01.tiff:0347-0208,620.154,445.731,12.042,138.366
734,mela_083_fov-01.tiff:0734-0591,465.056,63.417,12.042,138.366
184,mela_083_fov-01.tiff:0184-0108,661.019,545.537,10.63,138.814
418,mela_083_fov-01.tiff:0418-0257,662.02,396.42,10.63,138.814
645,mela_083_fov-01.tiff:0645-0497,306.676,157.088,19.849,139.086
124,mela_083_fov-01.tiff:0124-0080,991.395,573.9,27.659,139.399
231,mela_083_fov-01.tiff:0231-0133,720.409,520.909,9.22,139.399
289,mela_083_fov-01.tiff:0289-0166,897.37,488.022,9.22,139.399
372,mela_083_fov-01.tiff:0372-0220,886.542,434.125,9.22,139.399
64,mela_083_fov-01.tiff:0064-0042,1155.671,610.768,17.029,139.764
525,mela_083_fov-01.tiff:0525-0370,477.269,282.712,17.029,139.764
247,mela_083_fov-01.tiff:0247-0145,620.447,508.921,15.62,140.194
352,mela_083_fov-01.tiff:0352-0211,813.349,442.708,15.62,140.194
641,mela_083_fov-01.tiff:0641-0496,460.333,157.759,22.023,140.528
83,mela_083_fov-01.tiff:0083-0051,665.861,602.861,14.213,140.711
325,mela_083_fov-01.tiff:0325-0193,726.5,460.9,6.403,141.34
604,mela_083_fov-01.tiff:0604-0456,198.958,198.354,19.209,141.34
630,mela_083_fov-01.tiff:0630-0483,328.348,171.47,12.806,141.34
741,mela_083_fov-01.tiff:0741-0609,35.478,45.326,19.209,141.34
284,mela_083_fov-01.tiff:0284-0165,354.695,488.988,17.804,141.843
694,mela_083_fov-01.tiff:0694-0548,119.886,105.75,17.804,141.843
154,mela_083_fov-01.tiff:0154-0092,657.679,561.679,11.402,142.125
429,mela_083_fov-01.tiff:0429-0265,902.769,388.731,11.402,142.125
614,mela_083_fov-01.tiff:0614-0464,237.067,189.233,11.402,142.125
498,mela_083_fov-01.tiff:0498-0344,373.628,310.038,16.401,142.431
19,mela_083_fov-01.tiff:0019-0016,1183.357,638.043,15,143.13
174,mela_083_fov-01.tiff:0174-0102,850.744,552.671,15,143.13
254,mela_083_fov-01.tiff:0254-0145,380.543,508.413,10,143.13
269,mela_083_fov-01.tiff:0269-0155,925.881,498.595,10,143.13
436,mela_083_fov-01.tiff:0436-0270,417.105,383.526,15,143.13
538,mela_083_fov-01.tiff:0538-0390,489.311,262.797,15,143.13
548,mela_083_fov-01.tiff:0548-0402,162.923,251.923,20,143.13
555,mela_083_fov-01.tiff:0555-0406,443.912,247.824,15,143.13
685,mela_083_fov-01.tiff:0685-0532,342.06,122.3,10,143.13
706,mela_083_fov-01.tiff:0706-0563,292.42,90.94,18.601,143.746
265,mela_083_fov-01.tiff:0265-0153,343.823,501.113,13.601,143.973
346,mela_083_fov-01.tiff:0346-0207,272.414,447.1,13.601,143.973
656,mela_083_fov-01.tiff:0656-0506,333.318,147.364,8.602,144.462
24,mela_083_fov-01.tiff:0024-0023,662.65,629.987,20.809,144.782
512,mela_083_fov-01.tiff:0512-0358,179.638,295.259,12.207,145.008
236,mela_083_fov-01.tiff:0236-0134,629.038,520.538,10.817,146.31
569,mela_083_fov-01.tiff:0569-0418,324.197,236.439,14.422,146.31
145,mela_083_fov-01.tiff:0145-0089,1248.083,564.667,16.643,147.265
116,mela_083_fov-01.tiff:0116-0072,653.344,581.438,13.038,147.529
695,mela_083_fov-01.tiff:0695-0549,337.541,105.337,18.868,147.995
497,mela_083_fov-01.tiff:0497-0341,464.725,313.725,15.264,148.392
698,mela_083_fov-01.tiff:0698-0550,304.183,103.354,15.264,148.392
637,mela_083_fov-01.tiff:0637-0492,478.407,161.63,21.095,148.57
210,mela_083_fov-01.tiff:0210-0124,1232.071,530.071,11.662,149.036
406,mela_083_fov-01.tiff:0406-0246,776.143,408.143,11.662,149.036
595,mela_083_fov-01.tiff:0595-0444,184.614,210.129,13.892,149.744
654,mela_083_fov-01.tiff:0654-0505,249.278,149,13.892,149.744
276,mela_083_fov-01.tiff:0276-0160,676.652,493.924,8.062,150.255
479,mela_083_fov-01.tiff:0479-0321,431.395,332.974,8.062,150.255
683,mela_083_fov-01.tiff:0683-0530,400.25,123.95,8.062,150.255
516,mela_083_fov-01.tiff:0516-0360,363.7,293.917,10.296,150.945
424,mela_083_fov-01.tiff:0424-0259,364.638,395.086,12.53,151.39
444,mela_083_fov-01.tiff:0444-0276,204.565,378.5,12.53,151.39
622,mela_083_fov-01.tiff:0622-0475,472.197,179.045,12.53,151.39
96,mela_083_fov-01.tiff:0096-0058,1197.27,595.73,14.765,151.699
543,mela_083_fov-01.tiff:0543-0393,362.364,262.023,17,151.928
202,mela_083_fov-01.tiff:0202-0119,974.543,535.862,17.889,153.435
249,mela_083_fov-01.tiff:0249-0142,845,512,8.944,153.435
323,mela_083_fov-01.tiff:0323-0190,650.143,463.643,6.708,153.435
339,mela_083_fov-01.tiff:0339-0200,715.833,453.144,8.944,153.435
456,mela_083_fov-01.tiff:0456-0288,418.679,365.536,11.18,153.435
631,mela_083_fov-01.tiff:0631-0483,264.052,171.017,13.416,153.435
136,mela_083_fov-01.tiff:0136-0079,817.161,573.946,21.024,154.654
379,mela_083_fov-01.tiff:0379-0226,370.853,428.353,14.318,155.225
165,mela_083_fov-01.tiff:0165-0095,941.056,558.377,12.083,155.556
209,mela_083_fov-01.tiff:0209-0122,1250.4,531.475,12.083,155.556
77,mela_083_fov-01.tiff:0077-0048,425.5,606.167,9.849,156.038
437,mela_083_fov-01.tiff:0437-0268,678.31,385.881,9.849,156.038
266,mela_083_fov-01.tiff:0266-0153,321.878,501.411,17.464,156.371
309,mela_083_fov-01.tiff:0309-0180,993.457,474.326,15.232,156.801
572,mela_083_fov-01.tiff:0572-0416,230.688,237.688,7.616,156.801
660,mela_083_fov-01.tiff:0660-0513,233.85,140.975,15.232,156.801
147,mela_083_fov-01.tiff:0147-0089,351.719,564.719,13.928,158.962
213,mela_083_fov-01.tiff:0213-0125,1213.441,528.99,17.088,159.444
712,mela_083_fov-01.tiff:0712-0568,344.132,86.026,14.866,160.346
